实例,算法,迭代次数,解,适应度值,开始时间,最快时间,结束时间,运行时间,最快最佳结果时间
Du62,模拟退火算法,5513,"[array([35, 17, 23, 27, 12, 55, 47, 48, 58]), array([ 9, 16, 42, 46, 45]), array([ 3, 52, 24, 53, 26]), array([14, 37, 44, 10]), array([51,  8, 39, 13, 22, 20, 49]), array([29,  5, 18, 32, 21, 57, 61, 41, 56, 38, 31]), array([40, 54, 36, 19, 50, 60, 33,  7,  4]), array([ 1, 62,  2, 11, 30, 28, 59]), array([43, 34,  6, 25, 15])]",4555833.732,52:50.2,52:54.1,52:55.8,5.576321,3.935758
Du62,模拟退火算法,5513,"[array([17, 52, 12,  4, 54, 26]), array([23, 13, 61, 19, 16, 51,  5, 55]), array([36, 41, 43, 50, 32, 47, 48, 58]), array([39,  8,  2, 44, 34]), array([49, 37, 56, 21, 46, 62]), array([22, 35, 45, 57, 10, 14]), array([60, 40, 30, 33, 24, 11, 29, 42]), array([59,  1, 27,  3, 18, 38, 20, 25, 53]), array([ 7, 31,  6, 28, 15,  9])]",4505743.575,52:55.8,53:00.6,53:01.2,5.455453,4.792467
Du62,模拟退火算法,5513,"[array([52, 31, 17,  7, 60, 15]), array([45, 43, 48, 34, 10, 13]), array([27, 22, 16, 57,  1, 23]), array([26, 14, 32,  5, 49, 56,  6]), array([40, 59,  2, 11, 46, 29]), array([55, 39, 41, 50, 42, 19, 20, 62, 24,  4]), array([47, 21, 44, 28, 38, 61]), array([ 8, 12, 30, 25, 58, 54, 37, 18]), array([35,  9, 51, 53, 33,  3, 36])]",4508049.561,53:01.2,53:05.3,53:06.8,5.519669,4.084963
Du62,模拟退火算法,5513,"[array([24, 34, 58, 26, 10, 55]), array([48,  4, 36,  3, 61, 50, 17]), array([59, 51, 28, 21, 57, 38, 52, 56, 31, 16,  8, 30]), array([29, 22, 49, 32, 47,  5, 41, 44, 23, 14]), array([33, 20, 18,  2, 46]), array([37, 25, 27, 54, 43, 42, 19]), array([60, 35,  9, 13, 53, 62]), array([40, 39, 11, 15,  7,  6,  1, 45, 12])]",4520449.228,53:06.8,53:08.9,53:12.3,5.557768,2.138223
Du62,模拟退火算法,5513,"[array([53, 45, 15, 51, 29, 26]), array([34, 57, 59, 28, 55, 47,  1, 49, 40]), array([46, 43, 31, 60, 16, 52, 50, 23, 37]), array([48, 56, 21, 61,  9,  5, 25]), array([11, 38, 14,  8, 33, 30]), array([58,  2, 62, 27, 20,  3, 54]), array([42, 41, 12, 24, 36, 13, 10]), array([17, 44,  4, 22, 35,  7, 32, 19, 18, 39,  6])]",4473343.418,53:12.3,53:15.3,53:17.8,5.507041,3.0083
Du62,模拟退火算法,5513,"[array([15, 27, 34, 24, 52, 39]), array([22,  8, 17, 61,  1, 53, 36, 42]), array([ 4, 58, 44, 26, 60, 18, 20,  6, 35]), array([23, 37, 49, 12, 56, 10, 11]), array([14, 43, 54, 30, 47,  3,  2]), array([13, 40, 48, 16, 28,  9, 29,  5, 50, 25]), array([ 7, 41, 32, 38, 51, 57, 33]), array([31, 19, 62, 45, 21, 59, 55, 46])]",4504784.835,53:17.8,53:19.5,53:23.4,5.531891,1.688802
Du62,模拟退火算法,5513,"[array([ 4, 29, 36, 61,  9]), array([ 6, 57, 28, 30, 38, 17]), array([19, 35,  3, 56, 46, 51]), array([10, 21, 42,  5, 44, 14]), array([20, 12, 16, 27, 55]), array([40, 22,  1, 50, 60,  7, 11, 59, 47, 54]), array([53, 52, 34, 13, 58, 48, 49, 37, 41,  8, 25]), array([43, 32, 18, 62, 23, 45, 39]), array([ 2, 15, 26, 24, 33, 31])]",4457935.1,53:23.4,53:25.1,53:29.0,5.621921,1.774395
Du62,模拟退火算法,5513,"[array([42, 39, 34, 15, 33]), array([47, 56,  6,  5, 27, 46, 51]), array([61, 57, 40, 36, 20, 26]), array([45, 16, 32,  8, 22, 60]), array([62, 17, 18,  3, 54, 58]), array([ 2, 29, 52, 30, 59, 21, 41, 10, 31, 49, 50, 35]), array([ 9, 37,  1, 48, 24, 25]), array([43, 13, 11, 19,  4, 38]), array([ 7, 53, 23, 12, 28, 55, 44, 14])]",4503674.099,53:29.0,53:32.5,53:34.6,5.575086,3.477271
Du62,模拟退火算法,5513,"[array([15, 17, 51,  8, 18, 60, 33]), array([ 9, 37, 30, 62, 19, 54]), array([42,  1, 38, 14, 48, 45, 10, 36]), array([11, 52, 22,  4, 61, 59]), array([26, 16, 40, 35, 47, 23, 21]), array([53, 28,  2, 56, 20, 57, 12, 27, 32]), array([34, 25, 44, 49,  5, 50, 29, 43]), array([46, 39, 13,  3, 55]), array([ 6,  7, 24, 58, 41, 31])]",4434481.583,53:34.6,53:38.1,53:40.1,5.537846,3.528394
Du62,模拟退火算法,5513,"[array([39, 51, 46,  6, 17, 31]), array([24, 56, 60, 15, 27,  1, 20]), array([19, 25,  5, 61, 44, 35, 36]), array([22, 21, 40, 30, 59, 29]), array([54, 13, 45, 49, 53, 41, 42]), array([14,  2, 28, 52,  4, 23, 43]), array([58, 32, 12, 16, 55, 18, 26, 11, 50]), array([ 9, 37, 34, 57, 47, 10, 48]), array([33,  3, 62,  7,  8, 38])]",4532011.332,53:40.1,53:44.8,53:45.7,5.591477,4.631137
,,,平均值,4499630.646,,,,,3.305971
,,,最大值,4555833.732,,,,,4.792467
,,,最小值,4434481.583,,,,,1.688802
,,,,,,,,,
Du62,模拟退火算法,5513,"[array([14, 48, 51, 33, 25, 50,  6]), array([23, 47,  4, 44, 60, 32, 35, 53]), array([27,  3, 24, 43, 17,  8]), array([41, 52, 46, 39, 30, 21]), array([56, 37, 36, 19, 34, 13]), array([10, 12, 11, 28, 16, 45, 62]), array([ 1, 31, 61, 58,  2, 20,  9, 49]), array([40, 59, 22, 38, 57,  7, 29]), array([15, 18, 55,  5, 42, 26, 54])]",4529867.448,54:14.3,54:18.9,54:19.9,5.550094,4.551032
Du62,模拟退火算法,5513,"[array([17, 48, 10, 24, 13, 49,  7]), array([33, 25, 61,  3, 57, 53, 42]), array([41, 36, 51, 59, 18, 21, 58]), array([14, 28, 62, 60, 46,  5, 11, 22]), array([30, 29, 37, 44, 20, 45, 47, 52]), array([ 4,  2, 16, 39, 27, 43, 56, 26,  9, 32]), array([19, 54,  1,  6, 55, 31, 15,  8, 50]), array([23, 35, 38, 40, 34, 12])]",4499991.292,54:19.9,54:22.7,54:25.5,5.554507,2.793105
Du62,模拟退火算法,5513,"[array([ 6, 48, 42, 37, 14,  9, 17, 32]), array([22,  2, 27,  4, 20, 19]), array([39, 11, 34, 21, 30, 28]), array([46, 10, 13, 44, 58, 61]), array([38,  5, 60, 52, 16, 53]), array([49, 62, 36, 29, 18, 51,  3, 15,  7, 35]), array([12, 41,  8, 55, 56, 24]), array([40, 26, 57, 31, 59, 54]), array([33, 43, 47, 23,  1, 45, 50, 25])]",4533732.232,54:25.5,54:26.4,54:31.1,5.6212,0.9415
Du62,模拟退火算法,5513,"[array([15, 25, 39,  5, 33, 62, 17, 42]), array([54,  8, 16, 43, 22, 20,  1, 52,  9]), array([12, 53,  3, 34, 50,  4, 24]), array([41, 38, 23, 55, 28, 11, 27]), array([61, 31, 35, 21, 18, 58, 19, 57, 32,  7]), array([49, 26, 29, 44, 51, 56]), array([14, 10,  2, 45, 46, 48]), array([13, 40, 30, 47, 59, 60, 37,  6, 36])]",4469733.61,54:31.1,54:35.6,54:36.8,5.682002,4.482334
Du62,模拟退火算法,5513,"[array([49, 47, 22, 41, 21,  9]), array([33, 10, 11, 62, 42, 38, 15]), array([31, 61, 26,  3, 43, 14]), array([59, 32, 20, 28, 58, 37, 17]), array([40, 27, 51,  8, 35, 56, 25, 50, 52, 13, 30]), array([46, 16, 29, 12,  2, 57,  6]), array([36, 39, 60, 18, 44, 23]), array([54,  5, 45, 19, 53,  7, 34]), array([55,  4,  1, 24, 48])]",4413815.809,54:36.8,54:40.7,54:42.5,5.686837,3.92825
Du62,模拟退火算法,5513,"[array([ 6, 54, 28, 12, 10, 17]), array([16, 52, 61, 35, 49, 46]), array([62, 57,  2, 34, 26, 40,  3]), array([13, 41, 11, 55, 50, 56, 60, 18, 38, 25]), array([ 7, 23,  1, 47,  4, 30]), array([20, 32, 59, 22, 21, 29]), array([33, 44, 14,  8, 43, 36, 19, 48, 51, 58]), array([24,  9, 53, 42, 15,  5, 37, 39, 31, 27, 45])]",4496857.547,54:42.5,54:46.1,54:48.1,5.59482,3.692058
Du62,模拟退火算法,5513,"[array([15,  7, 19, 40, 34, 54, 43, 45]), array([25, 58, 32, 29,  3, 30, 42, 44]), array([57, 31, 37, 24,  9, 12, 60, 55]), array([26, 35,  2, 16, 18, 61,  4, 23, 62]), array([38, 49, 28, 22,  1, 51]), array([ 6,  8, 46, 11, 21, 59]), array([17, 53, 56, 27, 36,  5, 41]), array([10, 33, 52, 14, 50, 47]), array([39, 20, 13, 48])]",4426934.133,54:48.1,54:48.9,54:53.8,5.710519,0.829275
Du62,模拟退火算法,5513,"[array([48, 54, 22, 12, 27, 46, 14]), array([37, 43,  5,  4, 11, 26,  1]), array([47, 33, 59, 39, 34, 50]), array([40, 24, 29, 60,  3, 35, 18, 57, 58]), array([44, 16, 20, 49, 51, 31]), array([17, 30, 56,  2, 52,  9, 61]), array([10,  8, 41, 55, 42,  6,  7]), array([32, 36, 23, 38, 15, 13]), array([25, 19, 62, 28, 21, 53, 45])]",4488673.154,54:53.8,54:55.7,54:59.4,5.63807,1.917491
Du62,模拟退火算法,5513,"[array([ 9, 18, 61, 24, 62,  7, 17, 38, 23, 39]), array([21, 36, 44, 40, 20,  4]), array([22, 35, 60, 52,  2, 29, 46]), array([28, 56, 16, 32, 19, 47]), array([ 1, 31, 59, 12, 45, 43, 11, 15]), array([ 6, 26, 30,  8, 37, 13, 48]), array([57, 42,  3, 51, 41, 54,  5]), array([25, 49, 50, 27, 55, 10]), array([33, 58, 14, 34, 53])]",4470563.178,54:59.4,55:03.4,55:05.0,5.553806,4.000597
Du62,模拟退火算法,5513,"[array([40, 48, 47, 20, 15, 42]), array([ 1, 18, 59, 27, 28, 54,  5,  8, 19]), array([36, 31, 52, 16, 34, 29, 62, 17]), array([11, 21, 57,  2, 44, 24]), array([13, 45,  3, 56, 12, 30,  7, 50, 39]), array([26, 46, 10, 53, 49, 60, 58, 55, 14]), array([51, 37, 33, 35, 25, 22, 32, 61]), array([ 9, 41, 23, 38, 43,  4,  6])]",4476215.782,55:05.0,55:05.6,55:10.6,5.668214,0.599761
,,,平均值,4480638.419,,,,,2.7735403
,,,最大值,4533732.232,,,,,4.551032
,,,最小值,4413815.809,,,,,0.599761
